"cod_alumno"|"ciudad"|"sexo_f"|"puntaje_ingreso"|"promedio_notas"|"total_creditos_logrados"|"biologia"|"matematicas"|"filosofia"|"fisica"|"historia"|"quimica"|"lenguaje"|"geografia"|"idiomas"|"sociales"|"lecturacritica"|"ciencias"|"razonamiento"|"competenciaciud"|"valor_matricula"|"valor_servicios"|"ingresos"|"vive_familia"|"estrato"|"estrato_vivira"|"actualmente_trabaja"|"valor_matric_colegio"|"ano_pago_colegio"|"ingresos_familiares"|"ano_ingresos"|"numero_aportantes"|"numero_hermanos"|"numero_hermanos_est_superior"|"edad_inicio"|"edad_reporte"|"anio_reporte"|"clase"
443|PASTO                    |0||2.6239130434782605|0.0||||||||||||||||||0|||||||||||21.0|34.0|2000.0|0
628|PASTO                    |0||2.72258064516129|0.0||||||||||||||||||0|||||||||||18.0|34.0|2003.0|0
2391|PASTO                    |0|71.67|2.651086956521739|0.0||||||||||||||||||0|||0|0||0|||0.0|0.0|25.0|41.0|2005.0|0
3674|PASTO                    |0||2.30875|0.0||||||||||||||||||0|||0|0|2018|0|2018.0|0.0|0.0|0.0|20.0|32.0|2000.0|1
3677|PASTO                    |0||2.694285714285714|0.0||||||||||||||||||0|||0|0|2018|0|2018.0|0.0|0.0|0.0|28.0|43.0|2004.0|0
3678|PASTO                    |0||2.8377777777777773|0.0||||||||||||||||||0|||0|0|2018|0|2018.0|0.0|0.0|0.0|22.0|38.0|2004.0|0
3757|PASTO                    |1||2.522549019607843|0.0||||||||||||||||||0|||0|0|2018|0|2018.0|0.0|0.0|0.0|24.0|40.0|2005.0|0
3806|PASTO                    |0||2.6989010989010986|0.0||||||||||||||||||0|||0|0|2018|0|2018.0|0.0|0.0|0.0|21.0|38.0|2004.0|0
3851|PASTO                    |0||2.7169811320754715|6.0||||||||||||||||||0|||0|0|2018|0|2018.0|0.0|0.0|0.0|29.0|46.0|2005.0|0
3901|PASTO                    |0||2.4105769230769227|0.0||||||||||||||||||0|||0|0|2018|0|2018.0|0.0|0.0|0.0|19.0|39.0|2003.0|0
3908|PASTO                    |0||2.5294117647058822|8.0||||||||||||||||||0|||0|0|2018|0|2018.0|0.0|0.0|0.0|26.0|53.0|2015.0|0
4469|PASTO                    |1|75.84|2.5265306122448976|0.0||||||||||||||||||0|||||||||||25.0|39.0|2003.0|0
5418|PASTO                    |1|58.29|2.975|0.0||||||||||||||||||0|||||||||||17.0|30.0|2001.0|1
5921|PASTO                    |0|51.91|1.8647058823529417|0.0||||||||||||||||||0|||||||||||24.0|39.0|2004.0|1
6144|PASTO                    |0|73.51|2.4152777777777774|0.0||||||||||||||||||0|||||||||||20.0|33.0|2002.0|1
