"cod_alumno"|"ciudad"|"sexo_f"|"puntaje_ingreso"|"promedio_notas"|"total_creditos_logrados"|"biologia"|"matematicas"|"filosofia"|"fisica"|"historia"|"quimica"|"lenguaje"|"geografia"|"idiomas"|"sociales"|"lecturacritica"|"ciencias"|"razonamiento"|"competenciaciud"|"valor_matricula"|"valor_servicios"|"ingresos"|"vive_familia"|"estrato"|"estrato_vivira"|"actualmente_trabaja"|"valor_matric_colegio"|"ano_pago_colegio"|"ingresos_familiares"|"ano_ingresos"|"numero_aportantes"|"numero_hermanos"|"numero_hermanos_est_superior"|"edad_inicio"|"edad_reporte"|"anio_reporte"|"clase"
7644|PASTO                    |0|63.14|2.610869565217391|0.0||||||||||||||||||0|||||||||||20.0|48.0|2018.0|
22155233|PASTO                    |0|46.35|2.5884210526315785|152.0|50.000|42.000|43.000|53.000|42.000|43.000|48.000|44.000|||||||0.0|0.0|0.0|1|1|1|0|25000|2001|2550000|2006.0|1.0|2.0|0.0|17.0|33.0|2018.0|
23033258|PASTO                    |0|53.65|2.733663366336633|172.0|57.000|51.000|33.000|62.000|56.000|52.000|52.000|50.000|0.000|||||||||0|||0|0||0|||0.0|0.0|24.0|39.0|2018.0|
23038230|PASTO                    |0|43.4|2.9414893617021276|162.0|40.000|39.000|36.000|47.000|45.000|40.000|50.000|47.000|0.000|||||||||0|1|1|0|2500|1997|4500000|2008.0|1.0|2.0|0.0|21.0|36.0|2018.0|
23038265|PASTO                    |1|0.0|3.150000000000001|181.0|48.000|40.000|46.000|47.000|49.000|43.000|48.000|52.000|0.000|||||||||1|2|2|0|0|2002|3000000|2006.0|1.0|3.0|0.0|18.0|33.0|2018.0|
25033227|PASTO                    |0|60.07|2.8595744680851065|161.0|61.640|59.160|49.570|68.300|48.230|60.720|56.720|52.290|43.980|||||||||0|||||||||||16.0|30.0|2018.0|
25033248|PASTO                    |1|53.71|2.990123456790123|157.0|49.900|57.100|59.400|52.900|53.300|55.800|50.100|43.800|42.000|||||||||0|||||||||||17.0|30.0|2018.0|
25033264|PASTO                    |0|57.42|3.108860759493671|168.0|68.330|67.180|34.590|58.830|44.700|53.490|54.540|46.570|34.530|||||||||1|3|3|0|0|0|5856000|2006.0|1.0|0.0|0.0|17.0|30.0|2018.0|
25155254|PASTO                    |0|45.35|2.751136363636363|133.0|48.000|39.000|43.000|50.000|50.000|43.000|50.000|42.000|32.000|||||||||0|||||||||||24.0|37.0|2018.0|
25155257|PASTO                    |0|45.15|2.7897959183673455|143.0|40.600|40.500|48.200|54.500|40.800|43.200|42.600|40.900|42.000|||||||||1|7|0|0|20000|2002|3000000|0.0|1.0|4.0|0.0|23.0|36.0|2018.0|
26033320|PASTO                    |0|58.46|2.8647058823529425|170.0|65.640|67.770|54.370|51.810|0.000|52.250|61.760|0.000|41.030|54.560|||||0.0|0.0|0.0|0|||0|0||0|||0.0|0.0|19.0|31.0|2018.0|
26160247|PASTO                    |0|56.63|3.134782608695654|82.0|50.790|59.160|47.370|61.120|55.580|58.730|50.260|50.370|43.980|0.000|||||0.0|0.0|0.0|0|||0|0||0|||0.0|0.0|18.0|31.0|2018.0|
27148234|PASTO                    |0|47.45|2.92|151.0|54.000|45.000|41.000|44.000|50.000|51.000|50.000|56.000|47.000|0.000|||||0.0|0.0|0.0|0|||0|0||0|||0.0|0.0|30.0|39.0|2018.0|
27149215|PASTO                    |0|49.82|3.173076923076922|180.0|48.840|53.810|47.600|43.640|0.000|50.500|52.450|0.000|38.950|51.890|||||0.0|0.0|0.0|0|||0|0||0|||0.0|0.0|25.0|36.0|2018.0|
27166231|PASTO                    |1|43.7|2.877922077922077|101.0|46.000|42.000|45.000|51.000|33.000|41.000|40.000|42.000|33.000|0.000|||||0.0|0.0|0.0|0|||0|0||0|||0.0|0.0|23.0|34.0|2018.0|
28033250|PASTO                    |1|62.42|2.949411764705883|165.0|56.370|74.380|59.930|56.780|0.000|66.310|55.700|0.000|47.790|55.080|||||584000.0|116800.0|0.0|1|3|3|0|207000|2007|23114000|2007.0|1.0|3.0|0.0|16.0|26.0|2018.0|
