"cod_alumno"|"ciudad"|"sexo_f"|"puntaje_ingreso"|"promedio_notas"|"total_creditos_logrados"|"biologia"|"matematicas"|"filosofia"|"fisica"|"historia"|"quimica"|"lenguaje"|"geografia"|"idiomas"|"sociales"|"lecturacritica"|"ciencias"|"razonamiento"|"competenciaciud"|"valor_matricula"|"valor_servicios"|"ingresos"|"vive_familia"|"estrato"|"estrato_vivira"|"actualmente_trabaja"|"valor_matric_colegio"|"ano_pago_colegio"|"ingresos_familiares"|"ano_ingresos"|"numero_aportantes"|"numero_hermanos"|"numero_hermanos_est_superior"|"edad_inicio"|"edad_reporte"|"anio_reporte"|"clase"
22033207|PASTO                    |1|57.5|2.6047619047619044|175.0|59.000|57.000|50.000|59.000|58.000|59.000|57.000|55.000|||||||0.0|0.0|0.0|0|||0|0||0|||0.0|0.0|18.0|33.0|2017.0|0
22151222|PASTO                    |0|44.85|2.5862745098039217|173.0|35.000|45.000|39.000|47.000|43.000|46.000|47.000|41.000|||||||0.0|0.0|0.0|0|||0|0||0|||0.0|0.0|19.0|34.0|2017.0|0
23038231|PASTO                    |0|43.4|2.9333333333333327|123.0|47.000|42.000|37.000|42.000|36.000|47.000|49.000|40.000|0.000||||||0.0|0.0|0.0|0|||0|0||0|||0.0|0.0|22.0|36.0|2017.0|0
24160238|PASTO                    |0|59.81|3.4673913043478253|35.0|49.900|57.100|56.200|65.700|49.600|62.500|62.500|51.400|37.300|||||||||0|||0|0||0|||0.0|0.0|25.0|38.0|2017.0|1
25033214|PASTO                    |0|63.75|3.031868131868132|163.0|63.670|80.560|49.570|61.120|44.700|58.730|63.910|40.620|49.430|||||||||0|||0|0||0|||0.0|0.0|23.0|35.0|2017.0|0
25033259|PASTO                    |0|57.67|2.8736263736263736|159.0|63.670|59.160|53.910|70.930|51.790|41.770|54.540|44.650|60.310|||||||||0|2|3|0|1050|2003|3600000|2006.0|1.0|0.0|0.0|16.0|28.0|2017.0|0
25151240|PASTO                    |0|45.03|2.9850000000000008|189.0|52.580|45.370|40.270|40.530|46.470|51.870|45.910|38.440|41.970|||||||||0|||0|0||0|||0.0|0.0|16.0|28.0|2017.0|0
26036273|PASTO                    |0|42.15|2.901960784313725|144.0||||||||||||||||||0|||||||||||20.0|32.0|2017.0|0
26166248|PASTO                    |0|49.02|3.2406593406593402|109.0|50.920|53.810|49.860|46.570|0.000|54.010|43.110|0.000|48.490|43.120|||||0.0|0.0|0.0|0|||0|0||0|||0.0|0.0|21.0|31.0|2017.0|0
27033210|PASTO                    |0|64.44|3.0797619047619054|159.0|57.490|82.490|56.680|68.510|0.000|52.250|54.690|0.000|55.930|49.370|||||371500.0|74300.0|0.0|0|||||||||||18.0|28.0|2017.0|0
27034278|PASTO                    |0|57.49|2.986868686868687|154.0|61.190|65.250|56.090|56.340|0.000|49.260|55.210|0.000|45.710|55.590|||||115000.0|23000.0|0.0|0|||0|0||0|||0.0|0.0|17.0|28.0|2017.0|0
27036204|PASTO                    |0|51.87|3.430882352941178|56.0|54.350|48.380|56.110|56.530|48.230|41.770|61.360|44.650|64.890|0.000|||||0.0|0.0|0.0|0|||0|0||0|||0.0|0.0|25.0|34.0|2017.0|1
27148227|PASTO                    |0|48.85|2.5689655172413794|88.0|48.840|45.810|34.890|53.030|0.000|50.500|54.690|0.000|31.310|41.770|||||0.0|0.0|0.0|0|||0|0||0|||0.0|0.0|18.0|27.0|2017.0|1
27148230|PASTO                    |1|48.42|3.5447368421052627|179.0|49.900|40.500|44.600|51.300|43.500|47.200|62.500|42.300|35.700|0.000|||||0.0|0.0|0.0|0|||0|0||0|||0.0|0.0|21.0|31.0|2017.0|0
